,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
0,20160001,1,2016-01-01,2016,1,1,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,MOTO-AUTO,MOTO,AUTO
1,20160002,1,2016-01-02,2016,1,2,1,AV GRAL PAZ  Y AV DE LOS CORRALES,AVENIDA,9,AUTO-PASAJEROS,AUTO,PASAJEROS
2,20160003,1,2016-01-03,2016,1,3,7,AV ENTRE RIOS 2034,AVENIDA,1,MOTO-AUTO,MOTO,AUTO
3,20160004,1,2016-01-10,2016,1,10,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,MOTO-SD,MOTO,SD
4,20160005,1,2016-01-21,2016,1,21,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,MOTO-PASAJEROS,MOTO,PASAJEROS
5,20160008,1,2016-01-24,2016,1,24,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
6,20160009,1,2016-01-24,2016,1,24,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,MOTO-AUTO,MOTO,AUTO
7,20160010,1,2016-01-29,2016,1,29,15,AV GENERAL PAZ Y AV DE LOS CORRALES,AVENIDA,9,MOTO-AUTO,MOTO,AUTO
8,20160012,1,2016-02-08,2016,2,8,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,MOTO-CARGAS,MOTO,CARGAS
9,20160013,1,2016-02-10,2016,2,10,11,AV ENTRE RIOS 1366,AVENIDA,1,PEATON-AUTO,PEATON,AUTO
10,20160015,1,2016-02-14,2016,2,14,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,PEATON-AUTO,PEATON,AUTO
11,20160016,1,2016-02-14,2016,2,14,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,MOTO-AUTO,MOTO,AUTO
12,20160017,1,2016-02-15,2016,2,15,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,PEATON-MOTO,PEATON,MOTO
13,20160019,1,2016-02-17,2016,2,17,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,PEATON-PASAJEROS,PEATON,PASAJEROS
14,20160020,1,2016-02-17,2016,2,17,16,SUIPACHA 156,CALLE,1,PEATON-AUTO,PEATON,AUTO
15,20160021,1,2016-02-17,2016,2,17,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,AUTO-AUTO,AUTO,AUTO
16,20160022,1,2016-02-21,2016,2,21,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,MOTO-AUTO,MOTO,AUTO
17,20160025,1,2016-02-28,2016,2,28,4,AV GRAL PAZ Y AV 27 DE FEBRERO,AVENIDA,8,AUTO-AUTO,AUTO,AUTO
18,20160026,1,2016-02-28,2016,2,28,7,HOLMBERG Y VEDIA,CALLE,12,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
19,20160027,1,2016-02-28,2016,2,28,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7,AUTO-AUTO,AUTO,AUTO
20,20160028,1,2016-03-02,2016,3,2,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,1,PEATON-CARGAS,PEATON,CARGAS
21,20160029,1,2016-03-04,2016,3,4,17,AV CABILDO Y DEHEZA,AVENIDA,12,PEATON-PASAJEROS,PEATON,PASAJEROS
22,20160031,1,2016-03-08,2016,3,8,12,AV GRAL PAZ Y AV CNEL ROCA,AVENIDA,8,MOTO-PASAJEROS,MOTO,PASAJEROS
23,20160034,1,2016-03-12,2016,3,12,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS
24,20160035,1,2016-03-13,2016,3,13,6,AV CORRIENTES Y AV CALLAO,AVENIDA,3,MOTO-PASAJEROS,MOTO,PASAJEROS
25,20160036,1,2016-03-14,2016,3,14,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,4,MOTO-PASAJEROS,MOTO,PASAJEROS
26,20160037,1,2016-03-19,2016,3,19,11,AV. EVA PERON Y QUIRNO,AVENIDA,7,MOTO-MOTO,MOTO,MOTO
27,20160038,1,2016-03-21,2016,3,21,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,AVENIDA,8,PEATON-PASAJEROS,PEATON,PASAJEROS
28,20160039,1,2016-03-23,2016,3,23,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,3,MOTO-PASAJEROS,MOTO,PASAJEROS
29,20160041,2,2016-03-29,2016,3,29,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,MOTO-CARGAS,MOTO,CARGAS
30,20160043,1,2016-03-30,2016,3,30,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,8,PEATON-CARGAS,PEATON,CARGAS
31,20160044,1,2016-03-31,2016,3,31,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,7,MULTIPLE,MOTO,MULTIPLE
32,20160045,1,2016-04-11,2016,4,11,10,AV GRAL PAZ Y AV DEL LIBERTADOR,AVENIDA,13,MOTO-SD,MOTO,SD
33,20160047,1,2016-04-15,2016,4,15,5,LIMA 1483,CALLE,1,PEATON-PASAJEROS,PEATON,PASAJEROS
34,20160048,1,2016-04-15,2016,4,15,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,15,PEATON-PASAJEROS,PEATON,PASAJEROS
35,20160049,1,2016-04-17,2016,4,17,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,4,SD-SD,SD,SD
36,20160050,1,2016-04-19,2016,4,19,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,PEATON-PASAJEROS,PEATON,PASAJEROS
37,20160051,1,2016-04-20,2016,4,20,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,MOTO-CARGAS,MOTO,CARGAS
38,20160052,1,2016-04-20,2016,4,20,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,13,MOTO-SD,MOTO,SD
39,20160053,1,2016-04-22,2016,4,22,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,12,PEATON-PASAJEROS,PEATON,PASAJEROS
40,20160054,1,2016-04-23,2016,4,23,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,8,MOTO-MOTO,MOTO,MOTO
41,20160055,1,2016-04-25,2016,4,25,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,14,PEATON-CARGAS,PEATON,CARGAS
42,20160056,1,2016-04-26,2016,4,26,4,AV LUIS MARIA CAMPOS 30,AVENIDA,14,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
43,20160058,1,2016-05-04,2016,5,4,14,LIMA 1471,CALLE,1,PEATON-MOTO,PEATON,MOTO
44,20160059,1,2016-05-08,2016,5,8,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,1,PEATON-PASAJEROS,PEATON,PASAJEROS
45,20160064,1,2016-05-14,2016,5,14,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,10,PEATON-PASAJEROS,PEATON,PASAJEROS
46,20160065,1,2016-05-20,2016,5,20,14,AV GAONA Y ESPINOSA,AVENIDA,6,PEATON-AUTO,PEATON,AUTO
47,20160067,1,2016-05-21,2016,5,21,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,8,MOTO-PASAJEROS,MOTO,PASAJEROS
48,20160068,1,2016-05-22,2016,5,22,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,2,MOTO-PASAJEROS,MOTO,PASAJEROS
49,20160069,1,2016-05-23,2016,5,23,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,3,AUTO-CARGAS,AUTO,CARGAS
50,20160073,1,2016-06-11,2016,6,11,15,MAGARIÑOS CERVANTES 3900,CALLE,10,MOTO-CARGAS,MOTO,CARGAS
51,20160074,1,2016-06-12,2016,6,12,6,AV GRAL PAZ Y RODOLFO SCAPINO,AVENIDA,8,AUTO-AUTO,AUTO,AUTO
52,20160075,1,2016-06-12,2016,6,12,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,8,PEATON-AUTO,PEATON,AUTO
53,20160076,1,2016-06-13,2016,6,13,16,AV SAN MARTIN Y CAMARONES,AVENIDA,15,PEATON-PASAJEROS,PEATON,PASAJEROS
54,20160077,1,2016-06-13,2016,6,13,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,1,PEATON-PASAJEROS,PEATON,PASAJEROS
55,20160078,1,2016-06-13,2016,6,13,23,AV BELGRANO Y AV JUJUY,AVENIDA,3,MOTO-MOTO,MOTO,MOTO
56,20160079,1,2016-06-16,2016,6,16,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,13,AUTO-AUTO,AUTO,AUTO
57,20160080,1,2016-06-18,2016,6,18,6,AV GRAL PAZ Y AV RIVADAVIA,AVENIDA,9,AUTO-SD,AUTO,SD
58,20160081,1,2016-06-22,2016,6,22,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,12,MOTO-AUTO,MOTO,AUTO
59,20160082,1,2016-06-27,2016,6,27,18,AV LA PLATA 2384,AVENIDA,4,PEATON-AUTO,PEATON,AUTO
60,20160083,1,2016-06-28,2016,6,28,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,6,PEATON-MOTO,PEATON,MOTO
61,20160084,1,2016-06-29,2016,6,29,22,CARLOS PELLEGRINI Y TUCUMAN,CALLE,1,PEATON-PASAJEROS,PEATON,PASAJEROS
62,20160085,1,2016-06-29,2016,6,29,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,4,MOTO-MOVIL,MOTO,OTRO
63,20160086,1,2016-06-30,2016,6,30,16,AV OLIVERA Y RAMON FALCON,AVENIDA,10,PEATON-PASAJEROS,PEATON,PASAJEROS
64,20160087,1,2016-07-02,2016,7,3,0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,1,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
65,20160088,1,2016-07-11,2016,7,11,15,CERETTI Y NUÑEZ,CALLE,12,PEATON-AUTO,PEATON,AUTO
66,20160089,1,2016-07-14,2016,7,14,6,AV LUGONES Y LA PAMPA,AUTOPISTA,13,PEATON-AUTO,PEATON,AUTO
67,20160090,1,2016-07-14,2016,7,14,22,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,5,PEATON-PASAJEROS,PEATON,PASAJEROS
68,20160092,1,2016-07-15,2016,7,15,11,AV GRAL PAZ Y AV LIBERTADOR ,AVENIDA,13,MOTO-CARGAS,MOTO,CARGAS
69,20160093,1,2016-07-17,2016,7,17,3,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,6,AUTO-AUTO,AUTO,AUTO
70,20160095,1,2016-07-23,2016,7,23,6,MERCEDES Y AV GRAL MOSCONI,AVENIDA,11,MOTO-AUTO,MOTO,AUTO
71,20160096,1,2016-07-25,2016,7,25,7,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",AUTOPISTA,8,MOTO-CARGAS,MOTO,CARGAS
72,20160097,1,2016-07-26,2016,7,26,18,SOLIS Y MEXICO,CALLE,1,PEATON-AUTO,PEATON,AUTO
73,20160098,1,2016-07-27,2016,7,27,16,AV SAN JUAN Y ALBERTI,AVENIDA,3,MOTO-CARGAS,MOTO,CARGAS
74,20160099,1,2016-07-29,2016,7,29,16,AV GRAL MOSCONI Y AV GRAL PAZ,AVENIDA,11,CARGAS-CARGAS,CARGAS,CARGAS
75,20160100,1,2016-08-03,2016,8,3,23,AV GRAL PAZ  Y DONADO,AVENIDA,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
76,20160101,1,2016-08-07,2016,8,7,19,AV GRAL PAZ Y JORGE CHAVEZ,AVENIDA,9,SD-SD,SD,SD
77,20160102,1,2016-08-10,2016,8,10,23,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,9,MOTO-CARGAS,MOTO,CARGAS
78,20160104,1,2016-08-14,2016,8,14,21,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,9,MOTO-PASAJEROS,MOTO,PASAJEROS
79,20160105,1,2016-08-17,2016,8,17,0,AV FEDERICO LACROZE Y FRAGA,AVENIDA,15,PEATON-PASAJEROS,PEATON,PASAJEROS
80,20160106,1,2016-08-19,2016,8,19,21,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,AVENIDA,1,PEATON-PASAJEROS,PEATON,PASAJEROS
81,20160107,1,2016-08-20,2016,8,20,8,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,AUTOPISTA,4,MOTO-AUTO,MOTO,AUTO
82,20160109,1,2016-08-24,2016,8,24,5,AUTOPISTA PERITO MORENO Y BARRAGAN,AUTOPISTA,9,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
83,20160110,1,2016-08-24,2016,8,24,20,AV ALBERDI Y CARHUE,AVENIDA,9,PEATON-SD,PEATON,SD
84,20160111,1,2016-08-25,2016,8,25,9,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,AUTOPISTA,15,MOTO-CARGAS,MOTO,CARGAS
85,20160112,1,2016-08-27,2016,8,27,4,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,AUTOPISTA,1,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
86,20160113,1,2016-08-27,2016,8,27,16,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,AVENIDA,9,PEATON-PASAJEROS,PEATON,PASAJEROS
87,20160114,1,2016-08-31,2016,8,31,11,SALGUERO 1410,CALLE,14,BICICLETA-CARGAS,BICICLETA,CARGAS
88,20160115,1,2016-09-02,2016,9,2,11,ARIAS Y TRONADOR,CALLE,12,SD-CARGAS,SD,CARGAS
89,20160116,1,2016-09-02,2016,9,2,20,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,MOTO-AUTO,MOTO,AUTO
90,20160117,1,2016-09-03,2016,9,3,15,AV DEL LIBERTADOR Y TAGLE,AVENIDA,14,AUTO-AUTO,AUTO,AUTO
91,20160118,1,2016-09-04,2016,9,4,3,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,AUTOPISTA,1,AUTO-AUTO,AUTO,AUTO
92,20160119,1,2016-09-04,2016,9,4,6,CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO,AVENIDA,12,SD-SD,SD,SD
93,20160122,1,2016-09-13,2016,9,13,7,AV EVA PERON 4233,AVENIDA,9,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
94,20160123,1,2016-09-14,2016,9,14,9,AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO,AVENIDA,7,MOTO-AUTO,MOTO,AUTO
95,20160124,1,2016-09-16,2016,9,16,15,AVDA RIVADAVIA Y RIVERA INDARTE,AVENIDA,7,PEATON-PASAJEROS,PEATON,PASAJEROS
96,20160125,1,2016-09-17,2016,9,17,12,AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI,AUTOPISTA,10,MOTO-MOTO,MOTO,MOTO
97,20160126,2,2016-09-18,2016,9,18,22,IRIGOYEN Y TINOGASTA,CALLE,10,AUTO-CARGAS,AUTO,CARGAS
98,20160127,1,2016-09-24,2016,9,24,10,AV MARIANO ACOSTA Y AV CNEL ROCA,AVENIDA,8,PEATON-PASAJEROS,PEATON,PASAJEROS
99,20160128,1,2016-10-02,2016,10,2,11,CASTRO Y AV PAVON,AVENIDA,5,PEATON-PASAJEROS,PEATON,PASAJEROS
100,20160130,1,2016-10-04,2016,10,4,12,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,AUTOPISTA,1,MOTO-CARGAS,MOTO,CARGAS
101,20160131,1,2016-10-09,2016,10,9,19,MIRAVE 3500,CALLE,4,PEATON-AUTO,PEATON,AUTO
102,20160132,1,2016-10-10,2016,10,10,2,AV SAN JUAN Y 24 DE NOVIEMBRE,AVENIDA,3,AUTO-PASAJEROS,AUTO,PASAJEROS
103,20160133,1,2016-10-14,2016,10,14,0,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,AVENIDA,14,MOTO-AUTO,MOTO,AUTO
104,20160134,1,2016-10-23,2016,10,23,5,AV PIEDRA BUENA Y 2 DE ABRIL 1982,AVENIDA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
105,20160135,1,2016-10-24,2016,10,24,5,AV FIGUEROA ALCORTA  Y PINEDO,AVENIDA,14,PEATON-SD,PEATON,SD
106,20160136,1,2016-10-25,2016,10,25,0,AU BUENOS AIRES - LA PLATA KM. 4,AUTOPISTA,4,MOTO-CARGAS,MOTO,CARGAS
107,20160137,1,2016-10-25,2016,10,25,0,AV SAN MARTIN Y LADINES,AVENIDA,11,MOTO-MOTO,MOTO,MOTO
108,20160138,1,2016-10-27,2016,10,27,20,AV CABILDO Y BLANCO ENCALADA,AVENIDA,13,BICICLETA-CARGAS,BICICLETA,CARGAS
109,20160139,1,2016-10-28,2016,10,28,23,AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO,AVENIDA,14,MOTO-MOTO,MOTO,MOTO
110,20160140,1,2016-10-31,2016,10,31,2,AV JURAMENTO Y VUELTA DE OBLIGADO,AVENIDA,13,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
111,20160142,1,2016-11-05,2016,11,5,23,AV DEL LIBERTADOR Y AV RAMOS MEJIA,AVENIDA,1,MOTO-PASAJEROS,MOTO,PASAJEROS
112,20160143,1,2016-11-06,2016,11,6,4,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,MOTO-SD,MOTO,SD
113,20160144,1,2016-11-07,2016,11,7,12,AV. ALTE. BROWN 984,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS
114,20160145,1,2016-11-07,2016,11,7,20,AV DEL LIBERTADOR Y LA PAMPA,AVENIDA,13,MOTO-AUTO,MOTO,AUTO
115,20160146,1,2016-11-09,2016,11,9,20,PICHINCHA Y AV BRASIL,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS
116,20160147,1,2016-11-16,2016,11,16,21,AV INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,1,MOVIL-PASAJEROS,MOVIL,PASAJEROS
117,20160148,1,2016-11-16,2016,11,16,22,AV GARMENDIA 4895,AVENIDA,15,MOTO-MOTO,MOTO,MOTO
118,20160150,1,2016-11-18,2016,11,18,18,AV AMANCIO ALCORTA Y DIOGENES TABORDA,AVENIDA,4,CARGAS-CARGAS,CARGAS,CARGAS
119,20160151,1,2016-11-18,2016,11,18,20,SD,CALLE,0,PEATON-SD,PEATON,SD
120,20160152,1,2016-11-23,2016,11,23,21,AV PERITO MORENO Y ZUVIRIA,AVENIDA,7,MOTO-AUTO,MOTO,AUTO
121,20160153,1,2016-11-25,2016,11,25,15,ARAOZ Y AV CORDOBA,AVENIDA,15,PEATON-MOTO,PEATON,MOTO
122,20160154,1,2016-11-26,2016,11,26,14,AV GRAL PAZ 15200,AVENIDA,8,MOTO-MOTO,MOTO,MOTO
123,20160155,1,2016-11-26,2016,11,26,16,MADERO 900,CALLE,10,PEATON-AUTO,PEATON,AUTO
124,20160156,1,2016-11-26,2016,11,26,19,AV INDEPENDENCIA Y DEAN FUNES,AVENIDA,3,MOTO-PASAJEROS,MOTO,PASAJEROS
125,20160157,1,2016-12-03,2016,12,3,6,AV JUAN B JUSTO 5645,AVENIDA,11,MOTO-MOTO,MOTO,MOTO
126,20160159,1,2016-12-04,2016,12,4,7,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,AUTO-SD,AUTO,SD
127,20160160,1,2016-12-06,2016,12,6,5,AUTOPISTA PERITO MORENO ALTURA VELZ,AUTOPISTA,9,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO
128,20160161,1,2016-12-06,2016,12,6,7,AV SANTA FE Y GODOY CRUZ,AVENIDA,14,PEATON-PASAJEROS,PEATON,PASAJEROS
129,20160162,1,2016-12-07,2016,12,7,5,AV FEDERICO LACROZE Y AV FOREST,AVENIDA,15,PEATON-AUTO,PEATON,AUTO
130,20160163,1,2016-12-10,2016,12,10,7,AV GRAL PAZ Y AV GENERAL MOSCONI,AVENIDA,11,MOTO-AUTO,MOTO,AUTO
131,20160164,1,2016-12-11,2016,12,11,6,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,4,AUTO-AUTO,AUTO,AUTO
132,20160165,1,2016-12-12,2016,12,12,8,AV MARTIN GARCIA 300,AVENIDA,4,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
133,20160168,1,2016-12-13,2016,12,13,10,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,4,MOTO-AUTO,MOTO,AUTO
134,20160169,1,2016-12-15,2016,12,15,15,NUÑEZ Y AV RICARDO BALBIN,AVENIDA,12,MOTO-PASAJEROS,MOTO,PASAJEROS
135,20160170,1,2016-12-19,2016,12,19,17,AV GRAL PAZ 4500,AVENIDA,12,MOTO-AUTO,MOTO,AUTO
136,20160171,1,2016-12-25,2016,12,25,19,AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO,AUTOPISTA,1,MOTO-MOTO,MOTO,MOTO
137,20160172,1,2016-12-26,2016,12,26,8,AV GARAY Y CASTRO,AVENIDA,5,MOTO-CARGAS,MOTO,CARGAS
138,20160173,1,2016-12-26,2016,12,26,19,AV DIRECTORIO Y AV SAN PEDRITO,AVENIDA,7,MOTO-CARGAS,MOTO,CARGAS
139,20160174,1,2016-12-27,2016,12,27,0,AUTOPISTA 25 DE MAYO,AUTOPISTA,0,SD-SD,SD,SD
